EXPECTED OUTPUT, OUTPUT, TEST RESULT
450,450,OK
450,450,OK
2176,2176,OK
2176,2176,OK
450,450,OK
450,450,OK
2176,2176,OK
2176,2176,OK
290,290,OK
290,290,OK
680,680,OK
680,680,OK
102,102,OK
-12,-12,OK
103,103,OK
-9,-9,OK
88,88,OK
-24,-24,OK
1104,1863,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
1632,614,NO
